27,42,12,0,0,0,0,0,0,Easy,375.1,351
25,46,10,0,0,0,0,0,0,Easy,90.21,351
25,44,12,0,0,0,0,0,0,Easy,30.87,351
24,43,14,0,0,0,0,0,0,Easy,7533.38,351
25,38,18,0,0,0,0,0,0,Easy,8.95,351
24,36,21,0,0,0,0,0,0,Easy,6.72,351
26,35,20,0,0,0,0,0,0,Easy,36.04,351
26,52,3,0,0,0,0,0,0,Easy,43.4,351
23,51,7,0,0,0,0,0,0,Easy,8.37,351
25,47,9,0,0,0,0,0,0,Easy,137.64,351
25,47,9,0,0,0,0,0,0,Easy,32.93,351
27,44,10,0,0,0,0,0,0,Easy,164.47,351
23,37,21,0,0,0,0,0,0,Easy,3.36,351
25,39,17,0,0,0,0,0,0,Easy,31.75,351
25,39,17,0,0,0,0,0,0,Easy,168.93,351
25,38,18,0,0,0,0,0,0,Easy,41.6,351
24,45,12,0,0,0,0,0,0,Easy,96.29,351
25,45,11,0,0,0,0,0,0,Easy,10.9,351
29,47,5,0,0,0,0,0,0,Easy,0.22,351
26,50,5,0,0,0,0,0,0,Easy,2.19,351
26,48,7,0,0,0,0,0,0,Easy,312.23,351
25,46,10,0,0,0,0,0,0,Easy,444.94,351
25,39,17,0,0,0,0,0,0,Easy,3.6,351
24,37,20,0,0,0,0,0,0,Easy,271.81,351
25,44,12,0,0,0,0,0,0,Easy,1.74,351
25,41,15,0,0,0,0,0,0,Easy,4968.76,351
27,50,4,0,0,0,0,0,0,Easy,78.54,351
25,41,15,0,0,0,0,0,0,Easy,3894.13,351
24,37,20,0,0,0,0,0,0,Easy,229.83,351
26,48,7,0,0,0,0,0,0,Easy,4.64,351
27,46,8,0,0,0,0,0,0,Easy,9.9,351
24,51,6,0,0,0,0,0,0,Easy,297.75,351
24,43,14,0,0,0,0,0,0,Easy,162.42,351
24,30,27,0,0,0,0,0,0,Easy,220.94,351
25,39,17,0,0,0,0,0,0,Easy,125.1,351
27,38,16,0,0,0,0,0,0,Easy,1.74,351
